Unnamed: 0,시각,이동시간,이동시간_lag1,이동시간_lag2,이동시간_lag3,이동시간_lag4,이동시간_lag5,이동시간_lag6,이동시간_lag7,이동시간_lag8,이동시간_lag9,이동시간_lag10,이동시간_lag11,이동시간_lag12,이동시간_lag13,이동시간_lag14,이동시간_lag15,이동시간_lag16,이동시간_lag17,이동시간_lag18,이동시간_lag19,이동시간_lag20,이동시간_lag21,이동시간_lag22,이동시간_lag23,이동시간_lag24,resid,trend,seasonal
402,202101619.0,283.983,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,269.416,19.84778757184218,252.73766666666663,9.49754576149122
403,202101620.0,285.816,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,262.966,-10.084541095692616,252.3277708333333,7.597770262359278
404,202101621.0,278.666,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,258.8,13.831479520626871,252.1390625,7.512457979373167
405,202101622.0,278.666,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,259.033,10.144600397362966,252.62135416666663,8.667045435970392
406,202101623.0,278.666,271.433,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,217.583,13.449666009062051,253.14287500000003,4.840458990937908
407,202102000.0,257.0415,218.908,271.433,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,221.833,-23.129409147747943,253.4288125,-11.39140335225206
408,202102001.0,260.9995,226.9245,218.908,271.433,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,221.833,-15.119843938574572,253.5624895833333,-11.518145644758736
409,202102002.0,259.4245,234.5745,226.9245,218.908,271.433,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,241.116,-2.38022881270658,253.93401041666672,-16.979281603960143
410,202102003.0,253.7415,237.591,234.5745,226.9245,218.908,271.433,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,238.566,3.2143596204532017,254.1260208333333,-19.749380453786536
411,202102004.0,254.716,240.708,237.591,234.5745,226.9245,218.908,271.433,271.433,273.483,249.841,282.083,283.933,274.4745,254.105,270.516,270.958,265.6665,260.4245,249.716,246.125,249.2415,257.383,242.366,232.15,235.366,7.11056806229351,254.0972083333333,-20.49977639562681
